,,us_west_1,,,,,,,ap_southeast_1
interval,total ops/sec,generated ops/sec,RTT min,RTT median,RTT p95,apply min,apply median,apply p95,generated ops/sec,RTT min,RTT median,RTT p95,apply min,apply median,apply p95
100000,20.00,10.00,144.04,144.89,144.96,0.00,0.06,0.10,10.00,173.52,173.59,173.64,0.00,0.07,0.10
50000,40.00,20.00,140.48,140.56,140.62,0.00,0.05,0.08,20.00,173.68,173.76,173.79,0.00,0.06,0.08
20000,99.99,50.00,143.83,144.84,144.90,0.00,0.05,0.07,50.00,174.11,174.19,174.86,0.00,0.06,0.08
10000,199.99,99.99,145.46,145.52,146.01,0.00,0.05,0.06,99.99,173.47,173.53,173.56,0.00,0.06,0.07
5000,399.97,199.99,141.16,141.66,141.75,0.00,0.04,0.06,199.99,173.46,173.55,174.22,0.00,0.05,0.07
2000,999.93,499.97,141.21,141.71,141.77,0.00,0.04,0.05,499.97,173.01,173.06,173.08,0.00,0.05,0.06
1000,1999.80,999.90,144.62,144.72,146.79,0.00,0.04,0.06,999.94,173.73,173.83,178.14,0.00,0.05,0.07
500,3999.81,1999.87,144.76,144.84,145.68,0.00,0.04,0.05,1999.86,173.73,173.78,173.83,0.00,0.05,0.07
200,9999.32,4999.65,139.51,140.00,140.07,0.00,0.04,0.06,4999.66,174.22,174.28,174.35,0.00,0.05,0.07
100,14346.52,7249.81,307.86,697.42,723.11,0.00,0.04,0.06,7093.33,240.56,695.69,727.24,0.00,0.05,0.07
50,13963.49,13942.23,159.60,354.64,380.50,0.00,0.04,0.06,20.00,173.16,177.79,178.27,0.00,0.05,0.07
20,13931.28,6949.35,587.47,721.16,762.13,0.00,0.04,0.06,6980.84,284.99,715.64,762.27,0.00,0.05,0.07
10,14184.97,7175.63,299.01,705.39,741.15,0.00,0.04,0.06,7004.61,183.60,704.50,742.88,0.00,0.05,0.07
