100000	10.00	0.85	6.17	13.07	7.00	12.86	21.68	10.00	0.85	7.18	14.89	9.09	20.68	32.35	10.00	0.60	4.72	10.20	9.19	15.09	24.10	
50000	20.00	0.43	3.98	9.75	6.20	13.29	21.20	20.00	0.48	3.96	9.82	8.48	17.72	26.88	20.00	0.59	3.66	7.89	9.58	17.38	25.50	
20000	50.00	0.31	3.42	8.04	6.76	17.70	27.68	50.00	0.59	4.99	12.21	6.68	18.14	31.25	50.00	0.36	3.48	8.53	14.54	26.11	35.76	
10000	99.99	0.27	2.05	5.30	6.91	11.50	18.67	99.99	0.39	2.17	5.23	6.24	16.54	23.70	99.99	0.48	2.23	5.38	11.70	19.90	39.25	
5000	199.98	0.42	1.91	3.56	9.49	27.17	47.16	199.98	0.38	1.99	4.46	8.95	27.29	46.41	199.99	0.35	2.15	5.02	9.69	20.26	35.12	
2000	499.96	0.33	1.44	2.59	2.44	49.55	84.94	488.58	0.26	1.44	2.67	3.32	45.38	95.69	486.23	0.33	1.61	3.26	2.49	30.96	53.50	
1333	750.12	0.35	1.49	2.64	20.25	52.76	88.57	750.11	0.35	1.66	3.22	26.40	58.47	88.84	750.13	0.39	1.54	2.83	22.47	49.48	71.30	
1000	999.90	0.35	1.41	2.66	5.33	56.61	87.21	999.91	0.35	1.50	2.71	20.27	63.88	91.75	999.93	0.35	1.42	2.71	27.65	75.80	109.75	
770	1298.58	0.37	1.56	2.78	10.40	70.23	134.19	1296.64	0.32	1.54	2.95	5.24	62.29	110.17	1298.19	0.39	1.40	3.08	10.07	122.03	180.27	
625	1599.88	0.28	1.21	2.38	33.56	106.47	189.98	1599.90	0.31	1.29	2.52	37.65	115.91	196.35	1599.75	0.31	1.27	2.50	36.94	98.59	148.01	
500	1902.80	0.27	1.32	2.55	3.97	144.35	264.43	1885.77	0.30	1.30	2.69	1.77	119.67	271.00	1893.74	0.30	1.30	2.43	1.79	112.86	216.40	
